Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
ap3rdk.webwave.dev,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
cryptofreejioidea.code.blog,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
hd4-mfh4d.web.app,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
help-center98.crabdance.com,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
8--fuapp3.repl.co,0,0,0,2,0,0,0,1,0,1,1,1,1,1,1,1
emistt573netsmails73.weebly.com,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
mefamask.excharge.foundation,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
track-id8982.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
bit.ly,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1
cliqueabc.raphaeltavares.com.br,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1
hd2-fy.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
netflixsupport.noortechnology.pk,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,1
visioncenterss.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
sparkassesicherheit.link,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
areas-aspnt.bsafeschool.it,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
my.delivery-package.r91g.me,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
freightoinx0008.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
track-10083.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
projectrxnegade.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1
bafybeiemrqmrwml4ecdnyald5jsipavzsc6n3cfv344alveuvbwgquyw3q.ipfs.w3s.link,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1
help-center317.crabdance.com,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
infinitystakingaxie.shop,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
ww0bltkubnetx.1gb.ru,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
bafybeid6sgo3laosin4qaxoz3jz2f7jpz6hiduddkqplgc57dh54unb7h4.ipfs.dweb.link,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
lebedef66.beget.tech,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
wzf4cx.webwave.dev,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
daycoval.facildepagar.com.br,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
shanky0.github.io,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
otp.45-142-122-112.cprapid.com,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1
btconnects-0994a5.webflow.io,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
bisabonewverify.bisabonewverif.repl.co,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1
freightoinx0002.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
online-pocztovy.info,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
ethpz.top,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
espnsmescbitlfr-com.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
